txn_id,sender_id,receiver_id,amount_inr,txn_time,mode,bank_ref
43,18,29,58355.64,2025-02-05T15:17:30,IMPS,CLWR4776863423461994
44,60,44,25389.45,2025-02-07T20:49:44,RTGS,GOOR0529240755366684
45,34,49,4624.31,2025-02-08T14:31:32,CASH,MDIB5786170630489138
46,31,30,47295.09,2025-02-08T20:47:48,CASH,SBZA3010272405593429
47,23,37,9194.51,2025-02-09T10:44:09,RTGS,EGQU0468275670431038
48,37,79,20357.41,2025-02-09T12:46:42,NEFT,KWOV9889425652906032
49,54,52,28697.15,2025-02-10T09:27:54,NEFT,HWCU6704502329028227
50,76,77,11919.32,2025-02-10T22:55:33,NEFT,CSYM1064628792326487
51,25,26,43249.65,2025-02-11T10:03:39,RTGS,TFCL8350344694596488
52,62,73,51604.08,2025-02-11T11:51:40,UPI,DRFG7931269789307464
53,5,56,30998.58,2025-02-11T19:28:29,UPI,BFRV4276246719788977
54,36,78,52174.73,2025-02-12T22:29:36,UPI,XZZQ3350615814888107
55,78,5,78085.31,2025-02-12T22:39:38,CASH,AFQX4139080882351305
56,1,2,42500.0,2025-02-13T22:08:54,UPI,KFDJ5264712463351571
57,42,74,9446.12,2025-02-14T20:23:22,IMPS,KLTU0425979270335211
58,76,16,77554.88,2025-02-17T10:10:48,IMPS,DPXT5563318574817006
59,56,71,77320.26,2025-02-17T12:25:52,CASH,GEVH0358929880858382
60,1,2,38000.0,2025-02-17T15:01:56,IMPS,TBRB5120800564099512
61,47,2,28951.99,2025-02-18T10:09:18,RTGS,GUSY5003342342583230
62,33,39,45853.73,2025-02-19T13:46:04,NEFT,ZPFP9194096105566139
63,59,15,62641.37,2025-02-20T10:52:35,UPI,QDFU1352478712552137
64,5,44,77403.98,2025-02-20T11:53:31,RTGS,YMHV7239504102767478
65,69,41,64676.66,2025-02-20T14:46:22,CASH,HOIS0797796120878057
66,58,13,75374.53,2025-02-20T17:19:46,RTGS,YGRX2023684855716176
67,68,25,46777.58,2025-02-21T10:13:02,IMPS,ALYN9815287339785598
68,48,21,54591.55,2025-02-21T14:53:59,IMPS,RTNG4064686775240148
69,51,69,28075.94,2025-02-22T07:14:56,CASH,FYHL5580996132730346
70,39,15,53681.33,2025-02-22T11:21:23,NEFT,XYSQ9534396112910933
71,23,34,2169.0,2025-02-22T11:24:41,UPI,KGJO3552896112233865
72,64,41,63465.34,2025-02-22T20:16:33,UPI,OEUO9103368296353390
73,11,10,40608.52,2025-02-23T20:01:00,CASH,TEDX9639456804473149
74,25,43,70467.83,2025-02-26T07:47:14,RTGS,CHGF5411076095431735
75,9,14,40022.91,2025-02-26T14:04:51,IMPS,NKZX6519825309251142
76,17,65,50699.56,2025-02-26T19:53:48,NEFT,RFKG1106092098196027
77,2,77,47634.48,2025-02-27T13:57:36,IMPS,UQIL6797232002496854
78,34,24,6651.82,2025-02-28T18:58:53,IMPS,MDPZ0617136657224029
79,53,41,50897.24,2025-02-28T20:17:52,NEFT,UFIV9363123034778660
80,64,49,30176.05,2025-03-04T17:58:43,IMPS,RYDJ4744309634807970
81,25,54,32977.67,2025-03-05T07:18:16,IMPS,TOHL9710725636694118
82,7,25,4838.09,2025-03-06T08:30:16,IMPS,WOND7075877712151342
83,6,33,5278.75,2025-03-07T15:03:29,UPI,CMVI5104636815798123
84,57,29,23434.07,2025-03-09T10:59:14,NEFT,EDGR8209088307053496
85,57,67,66567.51,2025-03-10T10:45:45,UPI,ONPI1241513152854781
86,39,20,54902.96,2025-03-10T14:33:27,NEFT,SBRC0818661794549180
87,75,70,12219.02,2025-03-10T17:18:23,UPI,QSVV2038806533315377
88,49,74,74872.16,2025-03-12T15:35:05,IMPS,YCJO8539078956776657
89,42,17,61519.07,2025-03-12T17:31:27,RTGS,WNTZ5236687887883619
90,51,49,37921.72,2025-03-14T20:48:09,RTGS,AYMN1498282467474689
91,44,39,16289.12,2025-03-14T22:30:34,IMPS,WNLW9608931992550272
92,55,37,2463.22,2025-03-20T18:21:26,NEFT,PJTA2504290193588953
93,63,56,7230.74,2025-03-21T20:55:29,CASH,NTFO8687653269097384
94,73,22,23570.64,2025-03-22T13:51:39,NEFT,QTIP7352287056227104
95,58,62,21224.05,2025-03-22T17:51:18,IMPS,CNLF6693008931734206
96,61,48,1516.47,2025-03-22T22:43:06,RTGS,OQVV1126691215353961
97,29,8,9820.25,2025-03-23T11:24:46,UPI,WNLB1917920252131096
98,27,16,69029.27,2025-03-23T12:00:35,RTGS,ZKDB2932184011845826
99,40,68,34690.11,2025-03-25T11:41:59,CASH,FKCR8125205664742312
100,62,38,17176.42,2025-03-26T13:47:41,UPI,LXSD2662015720185962
101,15,60,63001.08,2025-03-27T19:02:05,RTGS,WJKS7794523219416800
102,79,19,13603.06,2025-03-28T07:20:04,UPI,EQZO6754813866675485
103,77,37,59891.26,2025-03-28T08:38:20,NEFT,QWDI9737460523302764
104,59,63,38139.15,2025-03-28T10:02:23,UPI,TWEW2216107051843905
105,58,73,15258.22,2025-04-02T12:51:48,IMPS,INOU9121416141509377
106,12,67,754.22,2025-04-03T22:35:39,IMPS,WFBN4969357824347769
107,48,55,21958.61,2025-04-04T09:23:38,NEFT,AHJF8113904383034199
108,74,35,5734.87,2025-04-04T15:14:56,CASH,WWMM6134732354940128
109,22,69,62474.38,2025-04-04T17:08:38,CASH,AXAZ6155810835832863
110,49,15,68579.24,2025-04-04T18:50:58,RTGS,NUWZ6053844446306000
111,39,36,56598.59,2025-04-05T15:00:49,NEFT,JLZM6907826333738987
112,10,66,61432.17,2025-04-06T10:38:48,IMPS,RKKV4451895202845765
113,7,19,10482.1,2025-04-06T13:15:32,UPI,NXOJ2336293449734715
114,51,6,70900.57,2025-04-06T15:56:40,CASH,JVCW3768151185672438
115,42,41,52824.28,2025-04-07T16:10:27,NEFT,HGYL0271607360776336
116,21,14,12787.12,2025-04-08T13:50:57,CASH,TWQR8167112075452798
117,46,24,52375.56,2025-04-08T16:12:34,IMPS,XYZZ6404120911791124
118,78,71,47546.76,2025-04-09T11:46:39,RTGS,CRII6267146283143598
119,13,29,1936.8,2025-04-11T14:04:39,NEFT,XWTO9695867805555727
120,42,57,48737.66,2025-04-13T09:22:27,RTGS,VWDX6493289802714872
121,17,69,62227.64,2025-04-14T11:38:16,NEFT,KKDC6682973270216487
122,69,73,79503.57,2025-04-14T18:41:51,NEFT,GKWQ8418343740182727
123,48,5,73111.63,2025-04-15T07:51:30,CASH,EGKP8452182307681040
124,78,57,63841.91,2025-04-15T10:51:38,NEFT,FHOX1006876164819807
125,56,19,74267.03,2025-04-15T12:24:23,IMPS,OXGU5435209042177625
126,72,26,49595.69,2025-04-15T15:06:04,IMPS,FKXP9706734996010548
127,54,1,66867.66,2025-04-16T17:18:32,IMPS,CILW6532863266678507
128,56,12,12753.97,2025-04-18T18:00:30,IMPS,LDPR6376731625265469
129,53,46,33745.31,2025-04-20T15:20:49,NEFT,UDVV5888636774722640
130,64,18,71656.66,2025-04-21T11:19:40,NEFT,XAZP9311029181331708
131,13,16,29175.72,2025-04-22T20:52:25,UPI,LUZO7980660392051460
132,6,71,5334.62,2025-04-23T15:16:01,NEFT,RWBT3511871813359561
133,73,67,19953.03,2025-04-26T12:44:59,IMPS,HWWO2094841312840333
134,35,65,71239.94,2025-04-26T20:03:35,NEFT,IVKN6766404735047639
135,8,4,42967.78,2025-04-28T19:43:43,UPI,RPBM6266821719553560
136,10,74,62290.35,2025-05-01T22:09:41,UPI,BVMI2569087766183067
137,1,7,70723.89,2025-05-02T10:03:19,UPI,IKWT6422971252967188
138,36,18,69933.94,2025-05-02T14:52:13,CASH,DAUL9551842694500534
139,7,57,29897.56,2025-05-02T19:46:59,RTGS,GJGM2948978610313100
140,67,30,51033.0,2025-05-03T16:26:49,NEFT,CUCC3129014870682778
141,74,62,55651.21,2025-05-04T12:24:30,RTGS,JSED5182606888718981
142,48,57,9326.95,2025-05-05T09:20:49,RTGS,EESJ9381735984884021
143,80,4,39038.43,2025-05-05T09:54:50,NEFT,IETI4401929275243728
144,80,63,6736.46,2025-05-05T14:19:47,CASH,GDLX2037710704496410
145,7,49,14651.32,2025-05-05T17:26:14,IMPS,IGFJ4741759558720962
146,21,69,14991.3,2025-05-06T11:10:15,UPI,BKSE7452380552578284
147,2,3,150000.0,2025-05-07T22:11:34,NEFT,GLDV2959272827090814
148,61,49,34648.0,2025-05-08T20:35:17,RTGS,JWRQ3607658173906375
149,26,21,11346.23,2025-05-09T15:42:35,IMPS,UBXP0015941651623198
150,61,16,3940.88,2025-05-10T07:48:06,UPI,TGSG2501249552893891
151,65,68,10789.05,2025-05-11T18:37:39,RTGS,CBAX2311775331266109
152,55,7,9249.37,2025-05-12T15:22:45,RTGS,HKBF0005347491624755
153,72,10,42853.27,2025-05-13T20:15:39,IMPS,RFPM1539669583219719
154,74,65,56893.55,2025-05-14T12:17:05,CASH,MEXG6903628917756620
155,69,79,54614.09,2025-05-15T07:27:41,UPI,KNNI1877580304687506
156,73,56,50425.69,2025-05-16T10:23:32,CASH,AIFS0257252045650448
157,1,32,4170.22,2025-05-17T16:42:34,RTGS,ESPW5859883103032432
158,75,11,71815.02,2025-05-18T17:04:28,IMPS,IYZI4723229031028795
159,22,66,45278.17,2025-05-22T13:37:00,CASH,YSFN1371504165915201
160,76,5,13317.23,2025-05-22T21:05:56,UPI,WHGZ2288985725459606
161,80,62,68278.83,2025-05-23T14:10:20,UPI,FFKO2076502412095790
162,45,19,60024.04,2025-05-24T19:44:19,UPI,FPAD1686462252237281
163,62,8,65027.16,2025-05-27T08:23:25,CASH,UUON1124912565237341
164,44,23,2786.38,2025-05-27T10:14:08,IMPS,WHJE3216110760310890
165,8,46,64598.48,2025-06-01T21:55:44,RTGS,XEAT1843579786305050
166,3,58,24165.83,2025-06-02T10:22:46,UPI,RXMH2181227645793897
167,77,12,37616.63,2025-06-02T10:33:49,NEFT,ASYJ3533448571422410
168,11,72,39758.58,2025-06-02T19:19:44,RTGS,PUDL9103002156321358
169,21,72,73774.94,2025-06-04T20:07:07,NEFT,SJBQ2154544702296044
170,3,4,480000.0,2025-06-05T10:22:43,RTGS,FSQF1739295786718153
171,6,10,30137.23,2025-06-05T10:24:32,UPI,KUXJ6602416139449883
172,46,34,54315.76,2025-06-06T08:51:04,NEFT,NDTH1837455084289107
173,38,21,26854.42,2025-06-07T14:00:02,UPI,YQDQ6702440330416624
174,21,40,38573.22,2025-06-08T08:34:44,NEFT,URDA0184186203036625
175,70,45,58725.99,2025-06-09T12:04:33,IMPS,OJIR5708620959351863
176,59,33,65560.29,2025-06-12T18:15:17,RTGS,ZBKO4238856527155983
177,58,10,54307.38,2025-06-13T19:55:16,CASH,PUNO7622827728813770
178,22,80,45408.95,2025-06-14T07:48:18,CASH,XPHM8269116331942268
179,61,51,24293.15,2025-06-14T12:34:51,NEFT,DOVO2256053134026650
180,43,46,36251.78,2025-06-14T19:48:26,UPI,YMBN5274033445056658
181,36,72,9858.31,2025-06-15T09:36:59,RTGS,CDCF1259020357134324
182,50,66,40137.73,2025-06-15T12:20:45,NEFT,QWPW7749690333736346
183,54,22,44495.91,2025-06-15T14:59:37,UPI,EDZU9620710021946723
184,3,4,495000.0,2025-06-16T11:15:52,RTGS,PGZM0507918158998868
185,62,10,11364.18,2025-06-16T13:09:58,IMPS,AAQX5766656749160169
186,8,7,74519.64,2025-06-16T18:38:42,CASH,WXZB0489646528092428
187,24,33,64655.59,2025-06-16T21:42:06,NEFT,YQIC5608213711842547
188,29,42,71885.68,2025-06-17T20:17:03,UPI,LLOP8817884795137116
189,63,14,17088.59,2025-06-19T17:48:19,RTGS,UEQD2356798363146249
190,6,43,45053.03,2025-06-21T13:00:40,IMPS,WJIZ1448850155699023
191,76,42,45319.67,2025-06-22T08:20:44,UPI,ULAF6755125427820797
192,77,30,24286.53,2025-06-22T11:45:24,CASH,XHDK8935712661106273
193,38,32,19824.33,2025-06-25T18:14:29,NEFT,XDWH7651588157937639
194,39,42,71853.62,2025-06-27T09:48:27,CASH,CJPE1458683390198179
195,77,60,44629.47,2025-06-27T21:11:19,RTGS,CTDV9657013290227846
196,20,44,52726.07,2025-07-03T19:33:43,CASH,UVHN3926495782329832
197,68,46,2880.23,2025-07-06T17:27:50,IMPS,LHCG5525105053795381
198,69,16,1605.07,2025-07-07T07:45:27,CASH,XLHX8909728321528506
199,24,14,61573.22,2025-07-07T19:21:04,NEFT,KTPG7147082723590960
200,41,77,78170.03,2025-07-08T08:48:39,CASH,GRJZ2530428973179128
201,40,4,49593.0,2025-07-08T21:22:05,NEFT,BTUG9834301871863759
202,3,41,45843.11,2025-07-11T10:51:31,UPI,WVGK7852945637183440
203,23,73,54474.4,2025-07-11T11:43:49,IMPS,IENR3441497826612875
204,78,21,65814.64,2025-07-11T20:24:01,CASH,HCID8186151554234016
205,67,75,50366.78,2025-07-13T15:45:50,NEFT,ZZIN5535851253892187
206,80,53,19009.37,2025-07-13T17:34:02,RTGS,XIUC2094818139890983
207,4,31,56326.64,2025-07-13T17:45:24,RTGS,MNRG2723865624220102
208,12,44,52496.57,2025-07-14T11:18:19,RTGS,VPBI6226817151602529
209,41,35,2465.1,2025-07-15T14:16:41,UPI,LCJQ8814311150835354
210,53,58,23498.65,2025-07-16T11:46:11,CASH,QCEA9957657289413475
211,76,74,58610.91,2025-07-16T14:16:46,NEFT,TKPV6403816649690282
212,11,68,58286.47,2025-07-17T12:24:35,RTGS,BYFK9222206447421230
213,39,74,64465.94,2025-07-20T09:45:54,CASH,DSKI1987635148468536
214,2,35,18193.06,2025-07-22T13:48:13,UPI,FOTP5736609656999880
215,34,47,15076.57,2025-07-22T17:50:55,NEFT,OPAC7157724599281615
216,41,5,8484.88,2025-07-23T17:12:53,CASH,VUBU0329633472727423
217,7,12,31657.38,2025-07-23T21:39:22,NEFT,KGWY8179217174773329
218,15,60,47005.8,2025-07-23T22:48:18,IMPS,QDCX9953766014448564
219,9,44,72858.29,2025-07-24T19:41:41,CASH,NZHH4141115931952569
220,77,46,14586.34,2025-07-25T07:07:29,NEFT,GOAH0453194337504793
221,16,4,74519.98,2025-07-25T11:29:59,NEFT,EAXR8547492975170281
222,21,25,76589.2,2025-07-25T18:32:45,RTGS,UWLW0663370502497243
223,38,49,8118.5,2025-07-25T20:14:55,CASH,ZVTA7676991507859311
224,36,79,39880.92,2025-07-28T19:24:28,UPI,HGMF6804085095493059
225,67,14,36823.58,2025-08-02T14:33:34,RTGS,XBRM8034764472649082
226,21,4,41434.85,2025-08-03T14:46:28,CASH,SKNG5315313636317970
227,41,16,9270.13,2025-08-05T22:48:23,NEFT,RXBC5716479473864631
228,62,12,14930.33,2025-08-06T12:12:36,RTGS,XFUJ0422693121637618
229,67,52,49667.57,2025-08-06T18:41:09,CASH,QKQL6728727601534332
230,47,56,17466.96,2025-08-07T07:48:43,RTGS,IIUF1214614768342016
231,41,47,59908.22,2025-08-07T12:20:29,IMPS,OLKG4490216667080850
232,46,70,23985.67,2025-08-08T10:56:57,NEFT,NOKH6127515627796304
233,58,15,53180.05,2025-08-08T14:13:10,UPI,DNWA2564347128715399
234,59,62,50454.36,2025-08-09T07:21:02,CASH,OKXX9230450189616423
235,77,52,47588.65,2025-08-09T07:43:32,IMPS,VEEM9405396727578446
236,21,26,76796.06,2025-08-09T10:26:31,CASH,PZVW2568621102258030
237,20,27,11821.47,2025-08-09T17:00:40,UPI,QJQD9737418972154064
238,31,74,53070.88,2025-08-09T17:49:46,RTGS,HCIY4158331170303763
239,44,27,76739.92,2025-08-11T07:58:44,IMPS,UATP0026876811807156
240,6,73,4131.61,2025-08-11T09:19:00,NEFT,YJMQ3565215681820967
241,4,5,2200000.0,2025-08-11T13:18:20,RTGS,EOYG4666617071587964
242,64,44,10987.6,2025-08-11T20:09:16,UPI,KBEP4564494856257287
243,18,9,34487.18,2025-08-13T09:36:05,IMPS,ZQJD1730985034465124
244,69,54,59579.85,2025-08-13T13:08:55,IMPS,JNWV7299493874302716
245,69,31,31383.45,2025-08-13T15:19:05,IMPS,JGFO5604177656124815
246,65,46,28658.41,2025-08-15T20:26:29,UPI,RAYN1294398529894062
247,22,27,34961.0,2025-08-15T20:38:47,NEFT,KTDT6639551720849649
248,43,10,71986.03,2025-08-16T14:48:16,NEFT,JWOK7494902284035954
249,15,24,1018.12,2025-08-17T22:31:10,IMPS,CYNV4175823133484587
250,28,24,665.82,2025-08-18T18:04:55,UPI,NPSJ9756792287772519
251,19,52,51688.41,2025-08-18T21:44:22,RTGS,YGJC0856288431884852
252,69,43,52667.15,2025-08-22T10:24:37,RTGS,NNGU0932998199605932
253,79,74,16055.5,2025-08-22T17:19:36,NEFT,NWLC9098624058008514
254,30,55,22642.21,2025-08-23T15:48:50,RTGS,LPVT6784271147732010
255,4,5,1750000.0,2025-08-23T16:49:43,RTGS,WBQB3149982508004635
256,40,21,68704.81,2025-08-24T07:29:29,IMPS,WMFZ5701658046498931
257,14,19,70157.6,2025-08-24T10:15:01,RTGS,FIAP8754181563268685
258,36,60,71203.78,2025-08-24T11:41:21,UPI,FUSK7860694096003562
259,20,24,59612.86,2025-08-24T16:30:26,NEFT,OZUW0412009282066784
260,59,34,78289.46,2025-08-25T21:41:59,IMPS,DSPB5466927589551687
261,75,62,8312.48,2025-08-26T08:20:50,UPI,GPDO1731893974909617
262,63,32,9196.19,2025-08-27T07:36:43,NEFT,HQQF2114577584745705
263,54,47,64080.53,2025-08-28T12:39:13,NEFT,WXCV7223297167433800
264,52,1,64694.74,2025-08-28T21:53:03,UPI,BIUD5914975019803828
265,65,59,74144.82,2025-09-01T08:15:59,CASH,JKPM2055543840460843
266,19,2,75519.61,2025-09-03T17:20:25,IMPS,NBMY0290846684550489
267,7,43,63631.83,2025-09-03T21:48:06,RTGS,SDCB0651207049611080
268,8,63,30289.05,2025-09-04T17:34:27,RTGS,VHIZ2575409003486451
269,2,21,59977.83,2025-09-06T13:28:55,UPI,BNPF8728660416448595
270,13,30,31133.82,2025-09-07T14:36:40,IMPS,RXRN1957612286852897
271,5,62,805580.55,2025-09-07T22:16:38,UPI,UWMB7231112712852464
272,19,35,36308.32,2025-09-08T12:39:44,UPI,TFWP9145608331819588
273,3,4,47604.04,2025-09-08T16:46:27,CASH,DXBL4851017490753998
274,6,32,12823.44,2025-09-09T07:31:14,IMPS,HHOU3204309776889362
275,72,21,4931.1,2025-09-09T22:37:24,CASH,VLYJ5009025590561655
276,5,72,621756.05,2025-09-10T15:06:48,UPI,MGCR7328077113062113
277,68,64,12753.46,2025-09-10T17:26:41,NEFT,DDQV1022031731096789
278,46,41,79321.31,2025-09-11T18:26:48,RTGS,XKTH9836845776004908
279,16,73,74835.85,2025-09-12T17:43:19,RTGS,BUUC5851743280634615
280,5,74,561569.18,2025-09-12T21:47:09,RTGS,TYBV8335090254257306
281,72,38,43291.22,2025-09-13T09:12:05,UPI,WTVM4258562614991537
282,41,6,63446.49,2025-09-14T16:48:01,IMPS,XKKH3803396852701713
283,21,3,31686.7,2025-09-14T22:22:48,RTGS,MCQX4438612590472927
284,54,78,59153.95,2025-09-15T07:48:03,IMPS,UOZU2063459112382965
285,7,44,62392.91,2025-09-16T21:32:57,RTGS,SXKN5442094940792904
286,5,75,809532.48,2025-09-17T18:43:44,UPI,GDOF3513739900631403
287,80,72,8638.84,2025-09-18T18:35:20,NEFT,EWZJ9321495870207016
288,39,77,16277.74,2025-09-19T11:08:42,NEFT,ZBCJ2576270232441233
289,7,73,71835.48,2025-09-19T20:18:20,RTGS,KYFE0368499515421447
290,78,32,26646.87,2025-09-19T22:29:29,CASH,BXCJ7546926329676291
291,60,20,77350.38,2025-09-20T12:19:31,NEFT,CZJA7034910740650042
292,20,48,65692.73,2025-09-20T17:21:10,CASH,NHRM3960962626582631
293,70,58,14408.7,2025-09-22T18:56:21,RTGS,SNIJ3098591679541072
294,64,27,55969.17,2025-09-22T19:16:25,UPI,VSCU7851385445770299
295,45,37,53393.42,2025-09-25T11:05:45,NEFT,EXGN9143075366614494
296,5,13,695756.52,2025-09-27T17:11:24,IMPS,LMBE2939469434606664
297,39,43,62074.84,2025-09-28T22:07:17,CASH,XUAE6325703965313614
298,34,6,78205.82,2025-10-02T14:44:52,CASH,AEDJ6296136715778711
299,53,70,29674.12,2025-10-02T22:45:23,UPI,SPWC2847818913718949
300,40,27,47721.8,2025-10-03T08:48:26,IMPS,EPFY3626693351342619
301,17,39,32836.3,2025-10-03T13:50:09,NEFT,RFZH8687007942007494
302,80,55,21182.54,2025-10-03T18:10:36,UPI,AWQN7713334476263934
303,53,39,40216.29,2025-10-04T12:16:06,CASH,KUWM2525715099768389
304,31,27,48746.73,2025-10-05T22:06:51,UPI,EYJR1717524214955112
305,68,11,67454.2,2025-10-06T15:45:09,RTGS,ROPW4186520575639836
306,50,37,17367.93,2025-10-07T10:35:17,CASH,ZVCS6655330770461172
307,37,55,67899.94,2025-10-09T18:59:08,CASH,SPQX7729343010713966
308,22,3,8490.95,2025-10-10T10:34:47,RTGS,FCVY0427523083708164
309,46,1,37098.13,2025-10-10T18:06:00,NEFT,XFML0167318826170243
310,77,43,45504.7,2025-10-11T16:26:21,IMPS,DOZB7303379337563620
311,34,29,54125.8,2025-10-11T21:41:42,IMPS,YSLW9232342108902851
312,41,22,57909.78,2025-10-12T07:42:25,RTGS,VVBC3824127049386204
313,20,39,65496.22,2025-10-12T10:17:58,RTGS,VLIZ1022526771196421
314,18,2,8428.53,2025-10-13T07:07:52,UPI,YUBE3142900185132797
315,44,55,59125.81,2025-10-14T22:18:18,RTGS,CYNH9282341436371892
316,40,21,50894.62,2025-10-16T21:43:18,IMPS,XZWE2946430394290458
317,10,69,19691.17,2025-10-17T16:25:39,UPI,RWDS7400564350238503
318,1,44,20998.01,2025-10-17T21:27:03,RTGS,JBDP7509546540842456
319,6,39,24661.19,2025-10-18T21:14:01,UPI,EIJU7146273014719597
320,77,42,30937.17,2025-10-19T07:18:01,CASH,AOJE6088050171644556
321,24,4,49547.25,2025-10-20T14:38:14,IMPS,VALC7289752677223306
322,43,53,27752.0,2025-10-21T17:31:37,CASH,ROOJ9242437540254729
323,14,39,17218.21,2025-10-22T11:20:10,IMPS,YMZF2925879643474524
324,52,33,41471.85,2025-10-22T12:56:01,CASH,FSPG7489690835723246
325,38,13,39690.65,2025-10-22T15:25:24,UPI,ONNE0471960940970527
326,1,21,17815.71,2025-10-23T07:56:59,CASH,OQWX8443448123083402
327,64,10,72393.75,2025-10-23T08:22:04,RTGS,TXTC8724010783567430
328,26,10,12617.53,2025-10-24T13:17:11,NEFT,SDEZ8965999497320331
329,57,7,870.93,2025-10-25T19:49:12,IMPS,LHGC0600531312206815
330,7,48,38097.01,2025-10-25T20:17:47,IMPS,IQVB9624406306244795
331,35,73,34134.11,2025-10-25T20:51:23,CASH,FNUN1085732788147617
332,29,38,12964.66,2025-10-26T12:36:35,IMPS,CNQP3977406335693929
333,54,68,62239.11,2025-10-26T14:44:05,IMPS,LAGA5872105524728633
334,12,8,52700.14,2025-10-27T13:38:40,UPI,WDCT2692124471746542
335,7,32,74175.01,2025-10-28T16:00:21,UPI,JOPA5383388487920698
336,5,8,64289.23,2025-10-28T16:23:39,RTGS,FNFF8225120734654950
337,78,75,67400.51,2025-11-01T10:49:05,RTGS,MWSC8362644886946119
338,22,14,44456.09,2025-11-02T22:01:11,IMPS,CMJG3481705802566212
339,51,62,10228.92,2025-11-03T09:16:34,IMPS,PWXL3745843845881056
340,9,64,2626.54,2025-11-06T19:38:43,NEFT,EJTT1187734778485880
341,63,11,35319.71,2025-11-07T11:02:12,UPI,XSHP6184787005050613
342,42,72,15569.03,2025-11-07T19:27:07,IMPS,GDLK2065063731495013
343,25,76,50940.94,2025-11-08T10:08:25,UPI,IGEN0931066843356708
344,29,60,52916.51,2025-11-09T08:12:07,IMPS,VPPF2005436459701082
345,73,61,7731.83,2025-11-12T07:47:38,RTGS,RQGF7532735241039773
346,2,14,67886.55,2025-11-14T20:54:31,CASH,TXRJ0767899730806958
347,25,76,49345.86,2025-11-15T07:16:48,RTGS,TIPU2587844483548847
348,43,44,38589.11,2025-11-16T08:41:08,RTGS,EUOR5760849588039551
349,9,35,33662.43,2025-11-16T10:31:39,NEFT,OWNA2437573839597246
350,30,49,56595.82,2025-11-16T15:09:33,RTGS,AJZO6580185694544149
